Peptide ID	Basal1	Basal2	Basal3	Basal4	Insulin1	Insulin2	Insulin3	Insulin4
Q6P549_peptide1	392687.6563	1763783.421	101658.9919	NA	2576435.881	4984746.709	732437.8602	633159.139
P70265_peptide1	862717.125	1210219.865	1566878.412	NA	NA	4399212.42	4501012.598	3161102.671
Q8BGQ1_peptide2	1495526.125	2683922.403	1716943.892	1302595.201	1042489.634	656131.248	850499.9196	490720.0752
P35689_peptide1	15400799	18531629.73	17192640.83	20002725.71	15296932.21	16510664.42	17413730.47	16811786.36
Q8R149_peptide1	10520357.25	2270639.534	NA	NA	847865.9638	NA	NA	NA
Q8BL48_peptide2	18494402.25	15746780.4	22094089.9	19705824.24	28900487.87	22262546.04	24004601.55	25326976.74
Q9ESE1_peptide1	7468722.5	8814554.131	9292106.63	10112709.41	18645033.08	3131627.765	8771829.292	8340897.203
Q6Q477_peptide1	1934878.125	3918608.535	3983898.885	3300388.249	3455898.699	1852181.757	NA	NA
Q62018_peptide2	11195617	3169166.287	NA	NA	3557986.396	2388544.76	NA	NA
Q9DBR1_peptide2	94877992	82934710.24	84147920.99	86696378.41	103143873.7	79681743.74	77418293.56	75557116.27
Q8K3X4_peptide1	58710972	74080816.01	79744944.85	71771824.83	30812446.92	32568490.35	34016287.78	29954168.71
Q8K3X4_peptide2	34113012	38074892.06	35909272.44	35140028.21	14653142.46	16108543.17	17765861.31	15611105.39
Q8VC03_peptide1	11051651.38	12371762.45	15860302.56	9514609.218	12440405.46	10382184.02	12564042.42	9413337.676
O89084_peptide1	NA	NA	NA	NA	NA	NA	NA	NA
P99024; P68372_peptide1	6813590	10095174.99	7523965.688	9053194.227	8735101.551	9689285.043	9043323.53	8970230.658
Q924A2; Q924A2-2_peptide1	1506853.625	2646097.801	38245776.39	32577154.93	NA	3651024.89	6659169.707	6636581.034
O55003_peptide1	345720720.8	380173240.8	352563796.6	463962679.7	435680919.1	421536908.4	487529612.9	525785586.1
O55003_peptide2	100060008	85786025.97	85936163.53	89780518.78	86947623.54	116595299.9	109677534.8	104498624.8
P54116_peptide1	2060286	1893804.216	1548853.283	136492.6478	2932086.948	4361256.499	2317275.538	85744.66998
P54116_peptide2	32934734	95926918.52	108348189.5	72431854.86	36268030.32	96289797.08	106372156.5	66987998.47
Q8VC70_peptide1	17061458.75	18640726.97	27062938.2	26223490.25	16549043.12	15900398.02	22311061.99	18077345.59
Q8VC70_peptide2	103841535.5	76888168.44	127432886.4	102536809.6	55839414.31	57006887.68	75011472.53	65660444.87
Q8VC70_peptide3	2886624.75	NA	5288398.029	3784708.875	1244547.189	NA	1974542.884	2190766.599
E9Q1P8_peptide1	55311123	52382308.91	69952835.7	76374850.54	32284747.94	35252325.12	46981902.37	45154536.73
P51859_peptide1	NA	NA	NA	NA	NA	NA	NA	NA
P51859_peptide2	31616063.5	30143059.78	45656050.17	45581430.54	24024922.27	34562467.96	35264592.88	36025375.16
P51859_peptide3	5795170.5	NA	NA	NA	NA	835316.8923	NA	NA
P51859_peptide4	63579660	87819176.55	100270232.8	105070453.6	69146320.85	105057877	110039516.6	112952127.5
P51859_peptide5	16529210.5	28191449.06	26578628.85	34597755.28	20571914.87	28969982.62	21242072.12	31487119.77
P61460-2_peptide1	3312565.5	3758020.669	3521477.297	3589549.443	4218031.496	4112203.317	4057206.205	4292131.608
