Peptide ID	Basal1	Basal2	Basal3	Basal4	Insulin1	Insulin2	Insulin3	Insulin4
Q8R149_peptide1	10520357.25	1838952.25	NA	NA	684439.4375	NA	NA	NA
Q8BL48_peptide2	18494402.25	12753049	13965984.88	10257842.31	23329906.5	17493860	13558787.38	12074506.38
Q9ESE1_peptide1	7468722.5	7138757.125	5873671.25	5264158.313	15051195	2460826.25	4954690.375	3976480
Q6Q477_peptide1	1934878.125	3173614.25	2518278.5	1718013	2789772.75	1455440.375	NA	NA
Q62018_peptide2	11195617	2566653.75	NA	NA	2872183	1876913.25	NA	NA
Q9DBR1_peptide2	94877992	67167408	53191084	45129692	83262848	62613740	43729040	36021468
Q8K3X4_peptide1	58710972	59996790	50407900.88	37360734.19	24873334.63	25592248.5	19213800	14280496.44
Q8K3X4_peptide2	34113012	30836206	22698756	18292098	11828743	12658058	10034890	7442514.5
Q8VC03_peptide1	11051651.38	10019679.5	10025520.25	4952818	10042512	8158297.5	7096688.5	4487760.5
O89084_peptide1	NA	NA	NA	NA	NA	NA	NA	NA
P99024; P68372_peptide1	6813590	8175910.125	4756004.5	4712629	7051407	7613819	5108041.5	4276511.5
Q924A2; Q924A2-2_peptide1	1506853.625	2143029.5	24175693	16957997.5	NA	2868967.375	3761373.25	3163956
O55003_peptide1	345720720.8	307895826.8	222860532.9	241515196.1	351703236	331242780.9	275376800	250665583.9
O55003_peptide2	100060008	69476640	54321457.25	46735137.44	70188432	91620331.75	61950387.75	49819183.88
P54116_peptide1	2060286	1533759.75	979051.9375	71051.07813	2366925.938	3427065.82	1308892.641	40878.33203
P54116_peptide2	32934734	77689576	68488414	37704312	29277352	75664312	60083374	31936185
Q8VC70_peptide1	17061458.75	15096807	17106863.75	13650605.25	13359208	12494498	12602206.5	8618281.875
Q8VC70_peptide2	103841535.5	62270416.88	80552119.25	53375408.75	45076343.38	44795887.69	42369568.38	31303280.63
Q8VC70_peptide3	2886624.75	NA	3342870.75	1970125.5	1004660.188	NA	1115303.125	1044436.75
E9Q1P8_peptide1	55311123	42423539	44218171	39756833.5	26061849	27701200	26537313	21527194
P51859_peptide1	NA	NA	NA	NA	NA	NA	NA	NA
P51859_peptide2	31616063.5	24412350.25	28859831.25	23727357	19394108.25	27159111.75	19918894.13	17174913
P51859_peptide3	5795170.5	NA	NA	NA	NA	656390.1875	NA	NA
P51859_peptide4	63579660	71123254	63382224	54694294	55818338	82554250	62154850	53849348
P51859_peptide5	16529210.5	22831774	16800725	18009818.5	16606669.5	22764549	11998397	15011323
P61460-2_peptide1	3312565.5	3043556.875	2225975.313	1868535.5	3405004.125	3231360.375	2291677.125	2046251.75
Q9WTU0_peptide1	5529171	4347498.5	3302174	2522514	7433223	6028267	6052859.5	6610024
Q8VHK1_peptide1	1607654.5	1116392.125	992689.6875	NA	1274756.625	1412868.875	368632.9375	NA
Q9ESC8_peptide1	NA	NA	NA	NA	NA	NA	NA	NA
Q5SVQ0_peptide1	9924651	13058758	9042402	7652237.5	10427399	12008443	9889874	8897513
Q5SVQ0_peptide2	6103801	NA	3824154.75	3245360.5	1475766.625	NA	4064748.75	3168401.25
Q8BSQ9_peptide1	5351786	4641956.5	NA	NA	2651095	3972116.5	485638.8438	606736.75
O08638; Q8VDD5_peptide1	9556128	7076240	8671648	6861431	6542342	5556570.5	5323976.5	3945874.25
Q6ZQF0_peptide1	6561886.5	3737325	2737265	2654791	4397100.5	3560379.75	2416238.75	1806246.125
P51859_peptide6	125149651	131118581	114404692	111446856.5	144027567	189136065	124276507	87047665
P47941_peptide1	7817927	9428565	1682971.375	7629861.5	10625199	5601145.5	7615505	7147569.5
Q8BL99_peptide1	NA	2432135	2752693	1173128.5	NA	2697215.75	1992111.75	2041354.5
Q8CHX7_peptide1	5057602	2941957.75	NA	NA	3321319.25	NA	NA	NA
Q8BFU3; Q8BFU3-2_peptide1	28896708	35137930	30312157	28805501	28314206	31897304	26642319	23812337
Q99NH0_peptide1	96518738	38028596	35272183	30725984	70668748	29436326.5	27658998	28409740
Q99NH0_peptide2	8486339	4805681	2718169.75	1683856.75	4501457	4990006	2555953	1443116.625
P70445_peptide1	25426015	27198199.25	19772706.63	14469918.38	42519333.5	51566154.5	38350262.25	21319323
Q9D032_peptide1	103681949.8	86639610.75	79677590.38	60687570.38	79604015	82736986.63	65006605	55498943.75
Q9CYZ8_peptide1	35205474.5	34058085.94	23502182.56	23384498	17283286.5	24145448.5	15579727.31	16403446
Q8K3I9_peptide1	1534598.875	1929767.75	495755.8125	NA	6282854.25	6725982	6544499.5	2292433.5
Q80TZ9_peptide1	14360833.19	8400017	7703381	2918530	6332962	8703318	5155024	3716802.125
Q3UPH7_peptide1	16701942.5	22808117.25	20137364.25	20136523.75	23773911.75	26500359.88	19809850.75	21230529.25
Q3UPH7_peptide2	4679528	3395537.25	870051.5781	1107815.375	5386068.063	3143228.281	699191.918	1566043.344
Q8C0T5_peptide1	6390334	7839074	5837017	5017907.5	6777740	7631927	5038882	4325438.5
Q8CGI1_peptide1	8379326.25	5122812.5	3465985.125	3507801.938	5121536.375	1911748.25	2151074.875	2383681.313
Q8CGI1_peptide2	1480903.563	3226300	1654954.684	1521881.523	4549824.516	8298240.094	2797974.766	1024692.961
Q925J9_peptide1	37786744	28114826	19367517	19788800	25605447	22199940	18732010	16256456
Q60876_peptide1	6024699.5	2160740.5	5218597.75	4598643	24207574	22406680	20201669	14344035
P97798_peptide1	11729733	NA	7264839.5	5233975	12506348	NA	9613753	6725942.5
Q80XU3_peptide1	46347056.83	43080391.38	60249222.95	10233497.86	18448164	56365909.06	38778686.69	7934163.844
Q80XU3_peptide2	18279345.56	27779495.56	21528040.11	3832621.641	9869953.75	51364342.13	12581270.28	2857970.383
A2AAE1_peptide1	11259001	8398814	7913947.5	5386261.5	8451094	5804079	4608943	3542525.5
P62500_peptide1	5386958.5	5302950	3926343.5	3484932.25	4034976.25	4450520.5	3020387.25	2450031.5
Q9QYB1_peptide1	3611771.25	2262660.5	2684496.25	1649003.5	3188719.5	3067774.25	2081345.75	1730712.875
Q03173_peptide1	7687273	7356020.5	6681325.625	6454960.438	3843792.25	3372723.75	3102164	2028413.5
A2AWL7_peptide1	2925233.25	2185580.5	2044586.25	2927324	9342044	6777431.5	6679235.5	4161401
Q80TV8_peptide1	108090296	93913256	96603136	75878794	52864350.81	49934480	40513090.19	34290159.63
G5E829_peptide1	27845256	19440722	21862848	25558708	10531753	10845890	9170161	8504198
Q3UGS4_peptide1	4585853.5	4423342.5	4487618	4064888.75	3205535.75	5450636.5	4539209	4204736.5
Q9DBR1_peptide3	66559690.13	61038544.63	57802525.31	52483975.81	52853505.25	69655044.88	50202486.88	45970437.75
Q9DBR1_peptide4	18342347.5	14509365.5	13403345	12114266	9443134	13477053.75	11794155.38	8751593.5
Q61464_peptide1	3988226.5	4659594	NA	NA	NA	NA	NA	1664371.75
Q3UPF5_peptide1	1321675.5	NA	NA	633413.875	37783556	50534860	44549780	36829476
P58871_peptide1	260811072	196150312	175416708	175369372	388720776	358872192	295946688	266523272
A2AHC3_peptide1	4029568.375	4032581.125	NA	816246.9375	4814847.625	949967	1957851.438	NA
Q3UE31_peptide1	18935678.5	19759985	16183898.5	13527141.5	16779197	18208304	13188805	12577133
Q68FD5_peptide1	8459356.5	8601281.75	9600516.75	5681074	7458353.5	7663841	7739084	6183299.75
Q68FL6_peptide1	88003089	110568347	89193519	73266772	99789926	111518720	82036809	71285017
Q8BY46_peptide1	NA	NA	NA	NA	NA	NA	NA	NA
P70670_peptide1	87804268	67999492	10010245.7	22915021.45	48030720	65392454	22321559.75	32475789.54
Q14AX6-3_peptide1	267668625.8	252657583.9	181217052.6	161103832.8	229255298.4	219261755.5	160074404.1	145863703.6
Q69ZR9-2_peptide1	NA	2769675.5	1713665.375	1069446.375	5917946.5	5586697	3809370.25	3437583.5
Q80UP8_peptide1	6438531.5	NA	NA	NA	11749685	47671704	NA	NA
Q6KCD5; Q6KCD5-2_peptide1	5955277.5	2501742.75	1376775.875	NA	2405360.5	3308903.5	1042310	NA
Q6KCD5_peptide1	5515112.5	4094727.75	2588860	2431833.75	NA	3010478.25	2011238.625	2201968.5
Q6KCD5_peptide2	61741464	23945857	6140926.25	1710637.813	15083584.19	19981370	4223732.375	2130241.375
Q6KCD5-2_peptide1	13569190	26761024	6081263	7361416.938	16113170	20327040	12281747.63	8939835.625
Q9Z1S8_peptide1	NA	NA	NA	NA	6705755.75	4155674.875	4377174.25	2338076.25
P47968_peptide1	12227647.75	15219981.63	6429171.438	6470056.375	13055243.5	15447883.38	10286446.63	12834444
Q64318_peptide1	2417125.75	NA	NA	NA	NA	NA	NA	NA
Q02788_peptide1	16499874	37184756	14417959	13023569	32936479	38779024	16187686	15528746
Q99NH2_peptide1	18492294	11657815	10670769	9322735	9635038	10812922	8246127.5	5807910
Q99NH2_peptide2	6725039	4852560	3537922.25	3557868.25	5093224.5	3457899	3345492.5	2634945.5
Q8K2X3_peptide1	8860612	10314613	7347329.5	7875917.5	8645476	10492681	6778149.5	5858854
Q8BGT6_peptide1	80499056	91005339	72551558.5	69142811.5	82866611	95760659	63848982	60177294
E9Q3E1_peptide1	5044210	7003894.375	5233990.625	4258762.75	6396464.375	6517869.625	4643956.375	3011164.375
P07901_peptide1	2086650.75	1912417.375	1240968.25	NA	2264867.25	2742831.75	1530985.125	575842.6875
P11499_peptide1	9459617	10923456	8482016	9974144	8704788	10415104	7563193.5	8258600
O08601_peptide1	NA	1213313.25	938285.75	NA	1563631.125	1268566.125	975760.25	NA
Q9DBP5_peptide1	2844164.25	2633544	2743663.25	2002661.625	3323175	3195794.25	1903429.25	1756153.25
Q8C3P7_peptide1	644043.125	486003.25	391437.7188	NA	NA	NA	NA	2080163.375
Q9DCD0_peptide1	294644.875	1401131.125	835965.8125	577381.6875	502098.0625	1419959.625	524410.75	811528.5
Q3URQ0_peptide1	NA	NA	590735.5625	314120.7188	NA	NA	NA	267631.125
P47962_peptide1	32753165.75	42628328.5	29600901.88	22553724	23924794	32651419.63	22032106.38	17040026.63
E9Q394_peptide2	11028690	9516553.75	7102122.75	2137695.25	5652559.25	5251112.75	4932678.5	4185843.875
P47968_peptide2	2047382.75	2435014.5	2161747	1948496	2122183.75	2741449.25	1825962.25	1907775.625
P17225_peptide1	2686758.25	3736562.75	2700619.75	2081738.5	3233756.75	3678087	2946812.25	2299891.75
Q8K5B2_peptide1	4898004	4834246	2776955	2344110.25	4909893.5	4706154	2367224.25	2496968.25
Q8R4U7_peptide1	7219342	5163208.5	6992182.5	5361407	6141600	3876243	4928919	3772708.5
Q62186_peptide1	5726408	7521820	6966016.5	5956577.5	6682031	6722239.5	6647422.5	6077555.5
Q8R5H1_peptide1	1564486.625	1944691.75	1231570.625	1197555.375	1262017.328	980509.4063	110676.9219	468096.3125
Q9CXW4_peptide1	5863618.723	19619291.08	18905644.9	18649284.56	6896419.641	19816584.42	18580077.06	21275199.9
Q9CPS6_peptide1	8965645	9852861	8647422	7229914.5	9340356	9085294	7762200.5	5817736.5
Q3UQN2_peptide1	1019106.563	913635.3125	733549.0625	743070.5	NA	736280.9375	822997	599845.75
Q99K85_peptide1	7870452	NA	NA	NA	6589236.5	NA	NA	NA
Q99LP6_peptide1	64750122.81	57705535.38	47117260.97	33476451.94	8249544.625	45928236	40818233.03	27643214.94
P50136_peptide1	4717167.5	3861163	3727088	2911090	4057145.5	4475330.5	3403747.75	3124474
Q68FD5_peptide2	2262869.5	2754299	1871814.25	1342201.625	1960227.25	1771592	1523834.375	1236047
Q8R361_peptide1	15438350	14728038.5	11410382.5	15961982.5	12618291	12153318	9843270.25	11591380.5
Q8BJ56_peptide1	87703504	58516536	51150280	17817666	27553814	27661352	22242314	17555992
Q9Z1K5_peptide1	1021151.813	882925.8125	427309.8125	NA	1544132.375	NA	525578.375	1204903.625
Q61481_peptide1	4181901	4385717	4143890.25	3511484.25	3258378.5	4034908.25	2671635.5	3172118.5
Q8K4B0_peptide1	156918784	190265016	163339832	166297552	201840752	158659952	144965976	137950848
G3XA57; Q9D620_peptide1	NA	5861098	NA	3670921	NA	5844809.5	NA	2760291.5
G5E829_peptide2	16955017.13	22312788.88	20881097.81	19147804.13	15295264.25	17246005.25	14168987.69	7464538.063
Q6ZQ89_peptide1	1503131	3154602.25	3086336	3031499.75	1727208.125	NA	3158441	2096585.125
P41361_peptide1	4747352	4423249.125	5566027.25	4040503.75	3305309.375	3678114.25	2102100.563	635043.4063
P28660_peptide1	27729634	27911786	25681366	19786506	28331662	21986944	19372522	15566464
Q3TXS7_peptide1	16759112	15319918	28424162	23011037	18264436	17802420	15042900	12826043
Q9D0F3_peptide1	195901950	159530172.1	151580666	114521623.1	207802661.3	167694589.4	147769873.5	115869104.6
B1AYB6_peptide1	9033756	6188461	5252566.5	4646757	8995482	7291289	6392003.5	5460465
Q9Z191_peptide1	33449246	28998062	21811222	17935332	24330010	23980936	18995156	17294544
Q9DC22_peptide1	4935368.5	5883167	6051466	NA	NA	5216892.5	4244237	NA
Q9D074_peptide1	3743880	5934227.75	3953475.813	2271368	3871812.5	7106606.75	3892548.313	7831309
Q921Z5_peptide1	8490846	7535528.5	6824885.5	5025884	6931774	7335880	4726709.5	5309679
Q9CXZ1_peptide1	18709617.06	29952702	30778041	NA	40193097	19030600.05	8765980	NA
P50544_peptide1	1007175.875	1094647.5	805191.75	759873.375	676081.125	NA	559210.75	764785.4375
